        TIME                    X      Y      RAWX   RAWY   DETX   DETY
        s                       pixel  pixel  pixel  pixel  pixel  pixel
    309   4.729405405147317E+08   -226   -544    528    212    529    213
    310   4.729405430220317E+08   -233   -358    478    391    479    392
    311   4.729405430220317E+08     26   -602    305     82    306     83
    312   4.729405430220317E+08   -164   -681    509     63    510     64
    313   4.729405430220317E+08   -226   -544    528    212    529    213
    314   4.729405430220317E+08   -186   -629    514    119    515    120
    315   4.729405430220317E+08    255   -413     29    194     30    195
    316   4.729405430220317E+08    251   -481     54    130     55    131
    317   4.729405430220317E+08   -127   -416    395    305    396    306
    318   4.729405430220317E+08   -189   -553    495    193    496    194
    319   4.729405455293517E+08      5   -465    283    219    284    220
    320   4.729405455293517E+08   -251   -444    522    314    523    315
    321   4.729405455293517E+08   -317   -271    533    499    534    500
    322   4.729405455293517E+08     31   -258    197    409    198    410
    323   4.729405480366717E+08     30   -258    197    409    198    410
    324   4.729405480366717E+08    -44   -178    245    507    246    508
    325   4.729405480366717E+08   -100   -612    427    109    428    110
    326   4.729405505440117E+08   -195   -660    533     92    534     93
    327   4.729405505440117E+08   -164   -680    509     63    510     64
    328   4.729405505440117E+08   -141   -149    330    564    331    565
    329   4.729405505440117E+08   -310   -459    583    319    584    320
    330   4.729405505440117E+08    172   -331     84    296     85    297
    331   4.729405505440117E+08    -26   -561    342    136    343    137
    332   4.729405505440117E+08   -269   -482    551    283    552    284
    333   4.729405505440117E+08   -242   -223    448    523    449    524
    334   4.729405505440117E+08   -301   -447    571    327    572    328
    335   4.729405530512917E+08   -258   -180    450    569    451    570
    336   4.729405555586317E+08   -117   -276    345    435    346    436
    337   4.729405555586317E+08   -168   -480    454    256    455    257
    338   4.729405555586317E+08    202   -274     40    342     41    343
    339   4.729405555586317E+08   -113   -177    311    529    312    530
    340   4.729405555586317E+08      6   -230    213    442    214    443
    341   4.729405555586317E+08     11   -106    171    560    172    561
    342   4.729405555586317E+08    171   -316     81    311     82    312
    343   4.729405555586317E+08    -26   -513    328    182    329    183
    344   4.729405555586317E+08   -132   -607    457    124    458    125
    345   4.729405555586317E+08    172   -589    162     50    163     51
    346   4.729405580659517E+08    -75   -202    282    493    283    494
    347   4.729405580659517E+08    211   -541    110     84    111     85
    348   4.729405580659517E+08    164   -356    100    275    101    276
    349   4.729405605732716E+08   -150   -605    473    131    474    132
    350   4.729405605732716E+08   -144   -675    488     63    489     64
    351   4.729405605732716E+08     87   -405    188    252    189    253
    352   4.729405605732716E+08    -25   -561    342    136    343    137
    353   4.729405630806118E+08    151   -319    101    314    102    315
    354   4.729405630806118E+08   -269   -482    551    283    552    284
    355   4.729405630806118E+08     80   -412    197    247    198    248
    356   4.729405630806118E+08   -314   -354    555    419    556    420
    357   4.729405630806118E+08   -150   -605    473    131    474    132
    358   4.729405655879117E+08    161   -193     55    432     56    433
    359   4.729405655879117E+08      9   -315    236    362    237    363
    360   4.729405655879117E+08   -143   -675    488     63    489     64
    361   4.729405655879117E+08   -198   -233    409    501    410    502
    362   4.729405655879117E+08    -26   -270    255    414    256    415
    363   4.729405655879117E+08   -155   -127    336    589    337    590
    364   4.729405655879117E+08   -114   -508    411    213    412    214
    365   4.729405655879117E+08   -276   -286    499    474    500    475
    366   4.729405680952117E+08    211   -452     84    170     85    171
    367   4.729405680952117E+08     64   -123    126    528    127    529
    368   4.729405680952117E+08      9   -190    199    480    200    481
    369   4.729405706025517E+08    257   -413     29    194     30    195
    370   4.729405706025517E+08   -147   -139    333    575    334    576
    371   4.729405706025517E+08   -194   -332    434    404    435    405
    372   4.729405706025517E+08   -193   -529    493    217    494    218
    373   4.729405731098917E+08    -88   -650    428     70    429     71
    374   4.729405731098917E+08      6   -465    283    219    284    220
    375   4.729405731098917E+08   -198   -233    409    501    410    502
    376   4.729405731098917E+08   -301   -447    571    327    572    328
    377   4.729405731098917E+08    139   -542    180    105    181    106
    378   4.729405731098917E+08    219   -577    114     48    115     49
    379   4.729405731098917E+08   -262   -346    503    411    504    412
    380   4.729405731098917E+08   -313   -263    528    506    529    507
    381   4.729405756171717E+08   -200   -439    472    304    473    305
    382   4.729405756171717E+08    -10   -635    349     62    350     63
    383   4.729405756171717E+08     94   -660    257      7    258      8
    384   4.729405781244916E+08    115   -161     88    476     89    477
    385   4.729405781244916E+08   -198   -184    394    548    395    549
    386   4.729405781244916E+08   -272   -235    479    520    480    521
    387   4.729405781244916E+08     98   -236    126    410    127    411
    388   4.729405781244916E+08   -269   -483    551    283    552    284
    389   4.729405806318117E+08     20   -473    273    207    274    208
    390   4.729405806318117E+08    -65    -93    241    594    242    595
    391   4.729405806318117E+08    226   -539     95     82     96     83
    392   4.729405806318117E+08    -85   -275    313    427    314    428
    393   4.729405806318117E+08    -58   -672    406     40    407     41
    394   4.729405831391717E+08   -266   -462    542    302    543    303
    395   4.729405831391717E+08    211   -541    110     84    111     85
    396   4.729405831391717E+08    -27   -216    240    465    241    466
    397   4.729405856464517E+08    211   -452     84    170     85    171
    398   4.729405881537717E+08    140   -254     92    379     93    380
